team_name,team_number
hASSeLsNOk,1004
JMD,1005
anoniempjes123,1006
Number,1007
Imperial,1008
Plantronics,1009
Beacon,1010
HUEHUE,1011
Izako Boars,1012
WarMonkeys,1013
PRINCEADIL,1014
demise,1015
Hysteria,1016
imperial,1017
EZG,1018
ANTI ECO,1019
Lilmix,1020
HWML,1021
5orgless,1022
beGenius,1023
Glacon,1024
ex-Paradox,1025
MELBET,1026
ENCHANT POISON,1027
Downfall,1028
BTRG,1029
Riotous,1030
GOSU,1031
autocracy,1032
Wild,1033
CHI DA?,1034
Blight,1035
TeamOne,1036
Iraq,1037
mCon,1038
Bushido Boyz,1039
Torpedo,1040
6sense,1041
SPRITTET,1042
KoN Finland,1043
BOOT-d[S],1044
BBC,1045
eXtatus,1046
Las Vegas MiniGunners,1047
Singapore,1048
ENZO,1049
Nemiga,1050
blitz,1051
Ardeont,1052
Spirifex,1053
Vexed fe,1054
TORI,1055
Forty Six and 2,1056
Arctic,1057
faithIN,1058
K29,1059
Absolute,1060
Chetz,1061
DISMAY,1062
ex-Space Soldiers,1063
ratoes,1064
x6tence Galaxy,1065
Alpha Red,1066
Mantegos,1067
Ben's Anime Team,1068
The Fundamentals,1069
walkover,1070
Ze Pug Godz,1071
FiVe,1072
Glockoma,1073
No Quarter Cartel,1074
4'US,1075
Kitsune,1076
adwokacik,1077
NUT,1078
WASD,1079
NIRVANA,1080
GUNRUNNERS,1081
GTZ Bulls,1082
NOORG,1083
Violight,1084
OpTic India,1085
cOOLkids,1086
Imperium,1087
GEX,1088
Budapest Five,1089
Mostly Harmless,1090
HARDNEJA,1091
undefined,1092
Serbia,1093
4Real,1094
NASR,1095
Paradox,1096
Atmosphere,1097
Intic,1098
Atlando,1099
NokSuKao,1100
Darkhorse,1101
STEP,1102
Alpha,1103
LowLandLions,1104
FrostFire,1105
Gambit Academy,1106
Berzerk,1107
AllGamers,1108
DreamRAR,1109
FUAH,1110
CNB,1111
EYESports,1112
Insomnia,1113
Lucky7,1114
Eternal,1115
Baecon,1116
Paris Gaming School,1117
VeritasAequitas,1118
ex-Epsilon,1119
Mythic,1120
Söderberg & Partners,1121
BFAIM,1122
Nocturns,1123
Without Warning,1124
Swift,1125
ahq,1126
Czech Republic,1127
Uranus,1128
MIBR,1129
NYYRIKKI,1130
VwS,1131
Granted,1132
Revolution,1133
Lebanon,1134
Wyvern,1135
WinFiction,1136
Lucid Dream,1137
FYB,1138
ex-Storm Riders,1139
Recca,1140
Telecon.Jundiaí,1141
ENTiTY.Gold,1142
100pinggods,1143
TBi,1144
MVP PK,1145
LOG,1146
Asuna's Anime Aimers,1147
Global,1148
tomorrow will be better,1149
Unicorns of Love,1150
PENTA,1151
GG1337,1152
SCARZ Absolute,1153
Illuminar,1154
KhARUM,1155
DarkPassage,1156
forZe,1157
Codewise Unicorns,1158
Space Jam,1159
ex-Athletico,1160
Iwku,1161
Unique,1162
ex-noMERCY,1163
seven,1164
UnderPressure,1165
