player_name,player_number
leO,1465
Hysteria,1466
Green,1467
BanGa,1468
SkyShark,1469
majk_rem,1470
yuMaz,1471
Limix,1472
Basso,1473
mock,1474
DarkS1DE,1475
NoddY,1476
LK,1477
Anomaly,1478
rAncour,1479
Mattiii,1480
dud1,1481
DEFQONZ,1482
h8me,1483
SMN,1484
Flam,1485
KimKardashian,1486
PuzlOK,1487
MonttY,1488
muR,1489
Lurk0,1490
remaiN,1491
b0ssy,1492
Spanisfury,1493
ClOnE,1494
zmb,1495
3nable,1496
thatwhocame,1497
Medi,1498
xb,1499
SajA,1500
Hyper,1501
Vc,1502
Maros,1503
adaro,1504
bOlu,1505
GrumpiX,1506
xReal,1507
Swahn,1508
SicK,1509
acm,1510
OBONE,1511
Killeuze_skirel,1512
iAmNotSorry,1513
Machine,1514
puni,1515
moso,1516
tomberi,1517
SeDaN,1518
Striker,1519
jrz,1520
Andrew,1521
mansito,1522
m1ke,1523
KLiXz,1524
Shaabi,1525
LUizo,1526
VIVIMEISTER,1527
Luke1,1528
Suko,1529
Elsu,1530
Voldemordt,1531
KiaRa,1532
UDEEEN,1533
Deethree,1534
JDK,1535
SLiNKY,1536
mijo,1537
Kobus,1538
Pihl,1539
Pallezkowich,1540
remeister,1541
haZeyy,1542
Void,1543
EXR,1544
JBP,1545
sh00b,1546
mana,1547
Kryptonite,1548
Djokabomba,1549
Mister Sic,1550
moonsh1n3,1551
S3NSEY,1552
Carnissa,1553
twinky,1554
p1xa,1555
MINION,1556
DetecteD,1557
mikoz,1558
shz,1559
azNN,1560
nibbeN,1561
HiSTELI,1562
n0rb3r7,1563
Bonecold,1564
nixon,1565
lys,1566
HaiAnhSuperfast-,1567
1231,1568
Hoops,1569
LS_D,1570
Heyz1ng,1571
FliP1,1572
arno,1573
TheSp1ke,1574
PROMOSKI,1575
Sasri,1576
SLUGGYBEAR,1577
jok,1578
verZache,1579
EFx,1580
grey,1581
Freeman,1582
teej4y,1583
MUu4K,1584
unknownamez,1585
patataps,1586
Jokke,1587
HACKER,1588
BesT,1589
poseidoN,1590
farmak,1591
Freejolitos,1592
Frawfact,1593
socloze,1594
Mopsim,1595
jayketh,1596
vins,1597
uli,1598
seiji,1599
Cozyyy,1600
t1mzy,1601
rmn,1602
Vulcanium,1603
tK,1604
Sirza,1605
Rkpower,1606
HenkkyG,1607
Wolfi,1608
piaba,1609
emmmmm,1610
SPUNK1,1611
jOkkez,1612
burk,1613
treblenaX,1614
TheWorst,1615
Cheaterpan,1616
jntzin,1617
ekg,1618
AZRAE1,1619
BuNTy,1620
J-T-A,1621
1ke,1622
Enkanis,1623
Rybak,1624
mk-Z,1625
Nerox,1626
ferrizh,1627
rewen,1628
TUNE,1629
kioShiMa,1630
Jadzz,1631
jae,1632
cheeseball,1633
fLamby,1634
Krutoi,1635
Sindi,1636
sn0w,1637
NOOZ,1638
KrowNii,1639
Hardwell,1640
LUCKING,1641
LooPeR,1642
SweetCamper,1643
V!ru$s,1644
Fury,1645
jmoh,1646
croic,1647
Kwelie,1648
z3n0b,1649
ImpressioN,1650
Scottiyio,1651
joebotz,1652
KAB0M,1653
Papa Shady,1654
Albatraoz,1655
big-A-,1656
nope,1657
xiaoye,1658
fredi,1659
Gats-Hohen,1660
dffiaNt,1661
hans,1662
Remoy,1663
VADER,1664
ItsYaBoiGavin,1665
Sublimey,1666
rusteezzz,1667
feddan,1668
Geniuss,1669
Ryjin,1670
ShoukR,1671
bruno,1672
zentic,1673
dAHL,1674
anarkez,1675
reN,1676
haggis,1677
STRYKER,1678
supluca,1679
msN,1680
fAwn,1681
MrCANI,1682
Lucaozy,1683
Sparkles,1684
Golden,1685
Reming,1686
goshan,1687
anakintm,1688
JeffVanB,1689
SpanJi,1690
Particle,1691
cRqsh,1692
kenzor,1693
Mansoor,1694
tahsiN,1695
ECOKING,1696
Sakura,1697
dekseN,1698
moNster,1699
tcrane,1700
jeske,1701
m1tch,1702
BluePho3nix,1703
MAGIKKK,1704
Blairzey,1705
The_Guru,1706
tatin,1707
eneshan,1708
LFN,1709
poizon,1710
Rex,1711
clone,1712
indale,1713
tOMA,1714
Mundle,1715
arken,1716
smalleralex,1717
DeeJay,1718
vNt,1719
wondr,1720
caveman,1721
heyroman,1722
vaz,1723
YonG,1724
toree,1725
Cyrus,1726
soraek,1727
facecrack,1728
Bryan,1729
sultanoz,1730
pungz,1731
1Mikey,1732
angry,1733
DSK,1734
president sloth,1735
SN,1736
fran,1737
PlesseN,1738
dAt,1739
w1zart,1740
^nitro,1741
Chainyz,1742
jamppa,1743
ofvirkur,1744
Mamba,1745
MIIKKA,1746
aure,1747
Draxido,1748
NaapurinHans,1749
bENITA,1750
hutji,1751
Chr1s,1752
YiiKoN,1753
XotiC,1754
FL1T,1755
Denny,1756
LKN,1757
entz,1758
Mauisnake,1759
meliniom,1760
Vazor,1761
Alx,1762
Viva,1763
c4ke,1764
Makelyin,1765
Lux0,1766
Katniss,1767
Jaeger,1768
N1kL,1769
rodneyP,1770
Diray,1771
Komodo,1772
paradodoxon,1773
ace,1774
Minori,1775
wm4j,1776
fore,1777
Fz1,1778
HypeNR,1779
myssen,1780
KEN1,1781
RobbeN,1782
YNk,1783
POX,1784
box,1785
faks,1786
rubeN,1787
insane,1788
jaytee,1789
MENG4N1TO,1790
reVicer,1791
Chappy,1792
CMX,1793
NeXuS,1794
Cedii,1795
McDuck,1796
qk-Mantis,1797
Luis,1798
RUBINO,1799
whatz,1800
EzShow,1801
TorgoNudho,1802
kUcheR,1803
Acrim,1804
risk,1805
rynq,1806
LunarStorm,1807
Coolkids,1808
aLEXOZ,1809
hMp,1810
SiN,1811
ridze,1812
ANa,1813
m0zh,1814
lillrooy,1815
rac00n,1816
Bl4ckiice,1817
MNZ,1818
Per0N,1819
doto,1820
Kevve,1821
Takita,1822
Realx ,1823
CMEPTb,1824
ZanaSofs,1825
zypath,1826
Ooopps,1827
qz,1828
marto,1829
Twista,1830
Phaai,1831
kz1n0pe,1832
lunAtic,1833
ALKEE,1834
Fluent Swede,1835
kLv,1836
mini-jazzo,1837
Ljh778,1838
meyern,1839
juricM,1840
CORBIN,1841
Thriller,1842
Marzil,1843
unlike,1844
sleepy,1845
Lok,1846
CINDER,1847
Panzi,1848
Ad1,1849
grux,1850
quix,1851
bayet,1852
t0mmyy,1853
Pingu,1854
Hanzy,1855
dudley,1856
pr,1857
Daedalus,1858
Rarphy,1859
